month_count,year,month,quarter,half,New Youtube Subsbcribers,Total Youtube Subscribers,# of  Youtube Views,New Member,Total Member,Active Member,olc customer,olp customer,book customer,Unique customer,# of Sales,AmÄ±unt of Sales,# of Books Activated
1,2017,1,Q1,H1,6567,1563885,15609141,23583,406308,8681,0,3679,6368,8682,9038,438056,0
2,2017,2,Q1,H1,41223,1605108,9017212,1247,418778,4906,0,2038,3567,4907,5111,239560,0
3,2017,3,Q1,H1,107161,1712269,19418677,29297,448075,13646,0,2593,11788,13671,41131,904614,0
4,2017,4,Q2,H1,116296,1828565,19866780,38834,486909,3065,0,9910,14553,15401,48135,791878,26169
5,2017,5,Q2,H1,18267,1846832,11274654,14962,501871,85,0,8130,5579,554,13878,459695,30726
6,2017,6,Q2,H1,-5938,1840894,4103330,17093,518964,13585,0,1517,10608,9485,23502,804737,48006
7,2017,7,Q3,H2,20201,1861095,4122416,27241,546205,22243,0,2283,1561,13009,64986,1557406,107436
8,2017,8,Q3,H2,37351,1898446,5095281,35174,581379,28654,0,1977,18823,13354,97478,2268626,398435
9,2017,9,Q3,H2,72322,1970768,7980810,33318,614697,29974,0,4694,18492,151,115484,3325149,44668
10,2017,10,Q4,H2,173874,2144642,15578912,43979,658676,34402,0,5594,21879,17597,115062,3972797,41583
11,2017,11,Q4,H2,250132,2394774,28177251,56114,714790,36978,0,4329,28538,21018,194971,4565394,158047
12,2017,12,Q4,H2,285496,2680270,26559573,46547,761337,30957,0,3865,2163,12867,95289,3064531,149877
13,2018,1,Q1,H1,166092,2846362,20492361,35012,796349,28621,0,3274,19237,12604,88405,2552921,38454
14,2018,2,Q1,H1,51903,2898265,10310784,33799,830148,27312,0,2393,17904,10984,95184,2264906,37549
15,2018,3,Q1,H1,159196,3057461,23638391,60239,890387,35854,0,3275,21911,13657,111645,2264446,46608
16,2018,4,Q2,H1,101023,3158484,17564999,52477,942864,39081,0,3079,26566,17566,133632,2854897,637031
17,2018,5,Q2,H1,106043,3264527,22844167,45236,988100,38109,0,3211,21248,11661,66009,1508944,55545
18,2018,6,Q2,H1,57335,3321862,15295473,24464,1012564,21251,0,9530,15852,11135,5872,1320820,25514
19,2018,7,Q3,H2,17625,3339487,5172496,20065,1032629,16461,0,1098,12108,7769,69428,1554061,2286
20,2018,8,Q3,H2,32885,3372372,4515095,16573,1049202,13533,0,1729,8844,634,70939,1631808,16055
21,2018,9,Q3,H2,12312,3495492,8611360,36895,1086097,26079,0,4027,20616,15312,242728,6545248,907452
22,2018,10,Q4,H2,194791,3690283,15386290,76065,1162162,62543,0,6044,46493,26901,454907,11481992,135442
23,2018,11,Q4,H2,560199,4250482,37878944,103407,1265569,86815,0,11285,52218,30756,427968,10850505,150283
24,2018,12,Q4,H2,322966,4573448,29394438,87264,1352833,81591,0,4963,4469,21762,351889,6637767,127466
25,2019,1,Q1,H1,145628,4719076,23972038,72486,1425319,71837,0,2522,40548,19265,366704,6091093,725632
26,2019,2,Q1,H1,72313,4791389,13671402,47161,1472480,56342,0,205,28635,13648,228069,3762473,77384
27,2019,3,Q1,H1,223424,5014813,31660581,71986,1544466,73406,0,2374,35822,18729,310414,4563504,9591
28,2019,4,Q2,H1,119921,5134734,23747231,47353,1591819,58718,0,1231,27968,14497,299651,3873183,71955
29,2019,5,Q2,H1,16373,5298464,34063129,39223,1631042,66386,0,6440,23217,8843,16088,2074271,75661
30,2019,6,Q2,H1,63948,5362412,16570244,32617,1663659,34597,0,1158,24928,16916,185787,3776173,32283
31,2019,7,Q3,H2,24076,5386488,8317979,45586,1709245,4857,0,138,28287,20221,276633,5005176,30371
32,2019,8,Q3,H2,5626,5442748,8865217,47926,1757171,42188,0,1803,20617,17612,287387,5320478,1509
33,2019,9,Q3,H2,221931,5664679,17854017,83407,1840578,71273,0,607,46256,37503,735648,13877036,57518
34,2019,10,Q4,H2,356021,6020700,29495439,95161,1935739,83113,0,6108,5258,32319,71399,12946423,107679
35,2019,11,Q4,H2,591006,6611706,45382227,93245,2028984,62865,0,6339,47023,2688,546256,9283740,10122
36,2019,12,Q4,H2,197029,6808735,39322264,86458,2115442,73372,0,5928,48337,26098,513514,8408096,107339
37,2020,1,Q1,H1,106771,6915506,35670114,73082,2188524,75147,0,4576,45599,22356,44108,7073718,102115
38,2020,2,Q1,H1,78991,6994497,23172638,63721,2252245,58224,0,1856,4103,18152,394367,6325085,81141
39,2020,3,Q1,H1,244745,7239242,39927069,87705,2339950,60805,0,5371,44731,21737,372851,5791777,86669
40,2020,4,Q2,H1,178066,7417308,40536768,122628,2462578,85619,0,2044,77156,48477,557794,7785489,132215
41,2020,5,Q2,H1,149313,7566621,43827110,114898,2577476,84565,0,414,89638,49143,4941,7865713,158173
42,2020,6,Q2,H1,209133,7775754,59743418,91765,2669241,70757,0,1337,87977,30593,484381,8671060,175257
43,2020,7,Q3,H2,34366,7810120,14955973,4233,2711571,38776,0,1296,40862,15651,215656,4021192,82642
44,2020,8,Q3,H2,166203,7976323,20463650,57353,2768924,53281,0,5658,46589,24792,419625,8191277,77975
45,2020,9,Q3,H2,299181,8275504,32680484,96361,2865285,79921,0,15691,71007,40741,839596,19324856,163675
46,2020,10,Q4,H2,374285,8649789,42996178,96842,2962127,8908,0,12186,72453,30166,726935,15231083,204985
47,2020,11,Q4,H2,685539,9335328,76718143,120828,3082955,103092,0,8467,74006,24588,592734,12018952,199877
48,2020,12,Q4,H2,225113,9560441,55352849,105246,3188201,103553,0,10546,71656,27983,416911,7974963,167567
49,2021,1,Q1,H1,17121,9731651,45794703,152433,3340634,102963,0,8729,72927,24096,39957,7210677,16579
50,2021,2,Q1,H1,194472,9926123,47500158,109148,3449782,99144,0,8566,67256,22366,288258,5803506,145829
51,2021,3,Q1,H1,491998,10418121,90614149,122458,3572240,118669,0,9137,67039,20998,377476,7062426,147467
52,2021,4,Q2,H1,56904,10475025,42219344,89959,3662199,100947,0,6096,55833,15841,293282,4635731,121083
53,2021,5,Q2,H1,33002,10508027,35158766,73003,3735202,101609,0,2535,5648,14157,196915,3774847,119704
54,2021,6,Q2,H1,4791,10512818,35723249,58171,3793373,73983,0,9450,47145,14928,281124,5794569,87795
55,2021,7,Q3,H2,-30349,10482469,12525071,54162,3847535,8422,0,9230,46728,13407,234807,5215150,85285
56,2021,8,Q3,H2,5891,10541379,20826717,70375,3917910,118367,0,208,51004,12348,365379,7995713,103971
57,2021,9,Q3,H2,220228,10761607,26330269,11971,4037620,159644,0,51,7522,2016,825727,18460063,170691
58,2021,10,Q4,H2,358557,11120164,52975691,187155,4224775,229625,0,678,100135,22774,694397,17346369,236504
59,2021,11,Q4,H2,309817,11429981,66424034,154707,4379482,21589,0,5934,94254,22189,704252,15561589,210885
60,2021,12,Q4,H2,149146,11579127,55994679,141553,4521035,216398,0,5819,93526,18883,616489,14424547,203585
61,2022,1,Q1,H1,19055,11769677,69358268,129327,4650362,215297,0,2786,90577,14012,413061,10851741,186584
62,2022,2,Q1,H1,23471,11793148,28844503,83554,4733916,161528,0,1517,85041,998,27366,7400411,125299
63,2022,3,Q1,H1,215014,12008162,63036542,120817,4854733,203547,0,2091,98748,12414,34679,10095666,140107
64,2022,4,Q2,H1,23376,12031538,33062310,65117,4919850,129069,2,7500,67533,6374,172859,5254662,90152
65,2022,5,Q2,H1,107942,12139480,47884770,63178,4983028,129363,9,6230,54929,4326,11565,4007933,73072
66,2022,6,Q2,H1,10132,12149612,30863817,49128,5032156,84928,71,6670,54147,7923,300258,12576175,74476
67,2022,7,Q3,H2,-60393,12089219,11683821,64278,5096434,88642,64,6930,76339,7866,239691,10198879,103807
68,2022,8,Q3,H2,10939,12100158,14155367,62005,5158439,99353,166,5660,6744,7108,277412,13034794,88821
69,2022,9,Q3,H2,1196,12219758,18623869,73897,5232336,108578,136,1254,78544,9214,542576,28851599,116981
70,2022,10,Q4,H2,26859,12488348,37709958,126952,5359288,159171,81,1482,114568,1159,580423,30934836,171719
71,2022,11,Q4,H2,210905,12699253,46103584,110126,5469414,149387,43,9760,97563,10306,46246,24412204,139557
72,2022,12,Q4,H2,82779,12782032,32391624,99333,5568747,141695,437,8570,84973,7012,373358,20870587,115271
73,2023,1,Q1,H1,107682,12889714,43695619,88851,5657598,136416,108,4860,75705,5587,248943,14465923,102969
74,2023,2,Q1,H1,-18096,12871618,15366149,50897,5708495,92338,193,1680,52218,4002,204526,9648174,67446
75,2023,3,Q1,H1,4265,12914268,27688073,70187,5778682,118593,528,1590,66592,6778,328302,14107052,87955
76,2023,4,Q2,H1,79556,12993824,38848954,58357,5837039,104504,108,1060,50101,3799,168672,8058151,64237
77,2023,5,Q2,H1,89473,13083297,38874616,48953,5885992,95595,95,2830,42276,2868,111965,6938333,53661
78,2023,6,Q2,H1,-24728,13058569,23095767,39395,5925387,62897,162,3220,3646,464,247544,19655059,50537
79,2023,7,Q3,H2,-44537,13014032,9925791,5656,5981947,8332,172,5370,60963,7463,242575,24017898,83289
80,2023,8,Q3,H2,1184,13025872,14675374,45194,6027141,76108,248,5410,44347,5047,189083,19103992,57457
81,2023,9,Q3,H2,98794,13124666,17072523,63489,6090630,90047,462,1763,53076,8271,399054,43003268,85257
82,2023,10,Q4,H2,287235,13411901,39817513,124471,6215101,157327,304,1813,88829,10527,44689,53232871,133882
83,2023,11,Q4,H2,15912,13571021,41738207,9625,6311351,139996,160,9700,69325,6674,221941,29112861,96497
84,2023,12,Q4,H2,158829,13729850,44397070,8255,6393901,1315,342,7810,58346,6371,194037,26650634,76702
85,2024,1,Q1,H1,30544,13760394,28582379,59248,6453149,110355,305,5210,47322,6638,14666,18619668,60286
86,2024,2,Q1,H1,16138,13776532,18492937,51166,6504315,94355,321,3680,36452,4662,163512,21396185,46212
87,2024,3,Q1,H1,153728,13930260,44065347,68238,6572553,119438,855,2420,49516,11454,198935,25653910,60941
88,2024,4,Q2,H1,22527,13952787,27098049,37018,6609571,76998,488,1210,27427,6146,58852,11004341,34307
89,2024,5,Q2,H1,148051,14100838,43500924,37937,6647508,8278,145,1140,26486,5351,66949,10207436,31868
90,2024,6,Q2,H1,-43016,14057822,17221640,36203,6683711,5846,353,4680,34282,13945,267886,35937548,38652
91,2024,7,Q3,H2,-37143,14020679,9591711,63111,6746822,90013,217,4770,64411,21225,197776,31203455,8388
92,2024,8,Q3,H2,-16748,14003931,11008203,49243,6796065,84092,267,6890,423,11958,113282,22061732,51925
93,2024,9,Q3,H2,85245,14089176,17031064,69361,6865426,113015,554,1753,59721,20304,332477,59989772,86192
94,2024,10,Q4,H2,315875,14405051,41479768,107695,6973121,161203,313,1707,8132,2772,566106,80209231,103896
95,2024,11,Q4,H2,122005,14527056,36256242,76486,7049607,133339,517,7910,58815,18765,275671,48961210,78939
96,2024,12,Q4,H2,10843,14635486,36349820,66634,7116241,125251,355,5710,52136,13301,440191,39297030,68244
97,2025,1,Q1,H1,126162,14761648,48343811,5718,7173421,112538,927,2350,43724,9563,199559,39501800,69341
98,2025,2,Q1,H1,21552,14783200,20825254,42929,7216350,87558,900,2950,3402,724,137734,30394895,56152
99,2025,3,Q1,H1,125629,14908829,48854049,49468,7265818,95379,301,1990,36781,5832,153639,32062070,50951
100,2025,4,Q2,H1,14218,14923047,25484529,37616,7303434,83293,447,880,24552,377,5671,15464396,38478
